School Name,Primary School,Physical Address,Postal Address,Email,Phone,Website,Management Name,Management Position,Management Email,Management Phone
Dundee Beach School,True,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT",dundee.school@education.nt.gov.au,(08) 8978 2212,n/a,Paul Riches,Principal,paul.riches@education.nt.gov.au,(08) 8978 2212
Driver Pre School,False,"37 Driver Ave, Driver, NT",", , , ",,(08) 893 59055,,Paul Riches,Principal,paul.riches@education.nt.gov.au,(08) 8978 2212
Driver Primary School,True,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT",admin.drivesch@education.nt.gov.au,(08) 893 59000,http://www.driverprimary.nt.edu.au,Warwick Peter-Budge,Principal,warwick.peter-budge@education.nt.gov.au,(08) 893 59000
Dripstone Middle School,False,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT",dripstone.middle@education.nt.gov.au,(08) 898 37777,http://www.dripstonemiddle.nt.edu.au,Nektaria Pikoulos,Principal,nektaria.pikoulos@education.nt.gov.au,(08) 898 37777
Douglas Daly School,True,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT",rosemary.sullivan@education.nt.gov.au,(08) 8978 2836,http://www.douglasdalyschool.nt.edu.au/,Rosemary Sullivan,Principal,rosemary.sullivan@education.nt.gov.au,(08) 8978 2836
Dhupuma Barker,True,"116 Gunyangara Rd, Gunyangara, 0880, NT","PO Box 394, Nhulunbuy, 0881, NT",apearce@barker.nsw.edu.au,(02) 8438 7435,https://barkerbarang.edu.au/about-our-schools/dhupuma-barker,Rosemary Sullivan,Principal,rosemary.sullivan@education.nt.gov.au,(08) 8978 2836
Darwin Middle School,False,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT",admin.darwinmiddle@education.nt.gov.au,(08) 894 25200,http://www.darwinmiddle.nt.edu.au,Brian Manning,Principal,brian.manning@education.nt.gov.au,(08) 894 25201
Darwin Languages Centre,False,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, Nightcliff, 0814, NT",dlc.nt@education.nt.gov.au,(08) 899 77000,https://www.darwinlanguagescentre.nt.edu.au/,Kevin Northcote,Principal,kevin.northcote@education.nt.gov.au,(08) 899 77001
Darwin High School,False,"10 Atkins Dr, The Gardens, 0820, NT","Bullocky Point, DARWIN, 0820, NT",darwin.high@education.nt.gov.au,(08) 899 91222,http://www.darwinhigh.nt.edu.au,Houdeh Khole,Business Manager,houdeh.khoie@education.nt.gov.au,08 8999 1222
Clyde Fenton Primary School,True,"101 Giles St, Katherine, 0850, NT","PO Box 421, KATHERINE, 0851, NT",admin.clydesch@education.nt.gov.au,(08) 897 33844,https://cfs.nt.edu.au/,Jeff Parker,Principal,Jeff.parker@education.nt.gov.au,(08) 897 33844
Clyde Fenton Pre School,False,"101 Giles St, Katherine, NT",", , , ",,(08) 897 33855,,Jeff Parker,Principal,Jeff.parker@education.nt.gov.au,(08) 897 33844
Centralian Senior College,False,"10 Grevillea Drive, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT",admin.centraliansc@education.nt.gov.au,(08) 895 85000,HTTP://centralianseniorcollege.com.au,Joanne Alford,Principal,joanne.alford@education.nt.gov.au,(08) 895 85000
Centralian Middle School,False,"56 Milner Rd, Alice Springs, 0870, NT","PO Box 1771, ALICE SPRINGS, 0871, NT",centralian.middle@education.nt.gov.au,(08) 895 52333,http://cms.nt.edu.au,Simon Rowlands,Principal,simon.rowlands@education.nt.gov.au,(08) 895 52333
Casuarina Senior College,False,"61 Parer Dr, Moil, 0810, NT","PO Box  40196, CASUARINA, 0811, NT",csc.admin@education.nt.gov.au,(08) 898 37300,http://www.casuarinaseniorcollege.com.au/,Geraldine Hogarth,Business Manager,geraldine.hogarth@education.nt.gov.au,(08) 898 37300
Casuarina Street Pre School,False,"Casuarina St, Katherine East, NT",", , , ",,(08) 897 33800,,Geraldine Hogarth,Business Manager,geraldine.hogarth@education.nt.gov.au,(08) 898 37300
Casuarina Street Primary School,True,"Casuarina St, Katherine East, 0850, NT","PO Box 1046, KATHERINE, 0851, NT",casuarina.admin@education.nt.gov.au,(08) 897 33800,https://casuarinastreet.com.au/,Renez Lammon,Principal,renez.lammon@education.nt.gov.au,(08) 897 33800
Canteen Creek School,True,"N/a, Canteen Creek, NT","PMB 105, via Alice Springs, 0872, NT",admin.cantesch@education.nt.gov.au,(08) 8964 1505,n/a,Natalie Law,Principal,natalie.law@education.nt.gov.au,(08) 8964 1505
Callistemon House,False,"80 Callistemon Dr, Katherine East, 0850, NT","PO Box 1971, Katherine East, 0851, NT",admin.callistemon@education.nt.gov.au,(08) 8972 3212,https://callistemonhouse.nt.edu.au/,Jayme Kot,Principal,jayme.kot@education.nt.gov.au,(08) 8972 3212
Bulman School,True,"N/A, Bulman, NT","PMB 13, Katherine, 0851, NT",irene.singleton@education.nt.gov.au,(08) 8975 4707,n/a,Irene Singleton,Principal,irene.singleton@education.nt.gov.au,(08) 8975 4707
Braitling Primary School,True,"80 Head St, Alice Springs, 0870, NT","PO Box  1669, ALICE SPRINGS, 0871, NT",admin.braitsch@education.nt.gov.au,(08) 895 85111,http://www.braitlingprimary.nt.edu.au,Belinda Pearson,Principal,belinda.pearson@education.nt.gov.au,(08) 895 85111
Bulla Camp School,True,"N/A, Bulla, NT","PMB 89, Katherine, 0851, NT",jenine.williams@education.nt.gov.au,(08) 9167 8957,n/a,Jenine Williams,Principal,jenine.williams@education.nt.gov.au,(08) 9167 8957
Bradshaw Pre School,False,"23 Adamson Ave, Alice Springs, NT",", , , ",,(08) 895 52100,,Jenine Williams,Principal,jenine.williams@education.nt.gov.au,(08) 9167 8957
Bradshaw Primary School,True,"23 Adamson Ave, Alice Springs, 0870, NT","PO Box 1744, ALICE SPRINGS, 0871, NT",bradshaw.school@education.nt.gov.au,(08) 895 52100,https://www.bradshawprimary.nt.edu.au/,Tim O'Sullivan,Principal,tim.osullivan@education.nt.gov.au,(08) 895 52100
Braitling Pre School,False,"80 Head St, Alice Springs, NT",", , , ",,(08) 8985 8511,,Tim O'Sullivan,Principal,tim.osullivan@education.nt.gov.au,(08) 895 52100
Berry Springs Primary School,True,"1150 Cox Peninsula Rd, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT",berrysprings.primary@education.nt.gov.au,(08) 8988 6006,http://berryspringsprimary.nt.edu.au/,Carlie Mamo,Principal,carlie.mamo@education.nt.gov.au,(08) 8988 6006
Borroloola School,True,"321 Robinson Rd, Borroloola, 0854, NT","PMB 5, Borroloola, 0854, NT",admin.borrosch@education.nt.gov.au,(08) 896 51800,https://www.borroloolaschool.nt.edu.au/,Keely Wallace,Business Manager,keely.wallace1@education.nt.gov.au,(08) 897 25395
Borroloola Pre School,False,"321 Robinson Road, Borroloola, NT",", , , ",,(08) 89 758780,,Keely Wallace,Business Manager,keely.wallace1@education.nt.gov.au,(08) 897 25395
Bonya School,True,"Community ID 26, Orrtipa-Thurra (Bonya), NT","PMB 69, via Alice Springs, 0872, NT",billie.coupland@education.nt.gov.au,(08) 8956 6352,n/a,Saabina Luitel,Business Manager,Rebecca.Kellond@education.nt.gov.au,(08) 8956 6352
Berry Springs Pre School,False,"1150 Cox Peninsula Rd, Berry Springs, NT",", , , ",,(08) 8988 6006,,Saabina Luitel,Business Manager,Rebecca.Kellond@education.nt.gov.au,(08) 8956 6352
Bees Creek Pre School,False,"20 Sattler Cres, Freds Pass, NT",", , , ",,(08) 8983 3222,,Saabina Luitel,Business Manager,Rebecca.Kellond@education.nt.gov.au,(08) 8956 6352
Alice Springs Steiner School,True,"Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT","PO Box 2736, Alice Springs, 0871, NT",accounts@alicesteiner.nt.edu.au,(08) 8953 4578,http://www.alicesteiner.nt.edu.au/,Dina Fiek,Principal,principal@alicesteiner.nt.edu.au,8953 4578
Belyuen School,True,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT",natasha.koroi@education.nt.gov.au,(08) 8978 5085,n/a,Natasha Koroi,Principal,natasha.koroi@education.nt.gov.au,(08) 8978 5085
Alyangula Pre School,False,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT",", , , ",,(08) 8987 6366,,Natasha Koroi,Principal,natasha.koroi@education.nt.gov.au,(08) 8978 5085
Alpurrurulam School,True,"N/A, Alpurrurulam (Lake Nash), NT","PMB 46, Mt Isa, 4825, QLD",amelia.hill1@education.nt.gov.au,(07) 4748 4887,n/a,Amelia Hill,Principal,amelia.hill1@education.nt.gov.au,(07) 4748 4887
Alekarenge School,True,"N/A, Ali Curung (Warrabri), NT","LMB 161, via Alice Springs, 0872, NT",admin.alekacec@education.nt.gov.au,(08) 8964 1957,not available,Lauren Walker,Principal,lauren.walker2@education.nt.gov.au,(08) 8964 1957
Alcoota School,True,"N/A, Engawala (Alcoota Stn), NT","PMB 255,, via Alice Springs, 0872, NT",matthew.paterson1@education.nt.gov.au,(08) 8956 9977,n/a,Matthew Paterson,Principal,matthew.paterson1@education.nt.gov.au,(08) 8956 9977
Alice Springs Language Centre,False,"Milner Road, Alice SPrings, 0870, NT","PO Box 9045, Alice Springs, 0871, NT",admin.aslc@education.nt.gov.au,(08) 895 52366,http://www.alicespringslanguagecentre.com,Brenda Savage,Business Manager,brenda.savage1@education.nt.gov.au,(08) 895 52366
Batchelor Pre School,False,"71 Kirra Cres, Batchelor, NT",", , , ",,(08) 8976 0077,,Brenda Savage,Business Manager,brenda.savage1@education.nt.gov.au,(08) 895 52366
Alyarrmandumanja Umbakumba School,True,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT",admin.umbakumba@education.nt.gov.au,(08) 8987 6793,https://www.alyarrmandumanja.nt.edu.au/,Genevieve Wild,Principal,genevieve.wild@education.nt.gov.au,(08) 8987 6793
Alice Springs School Of The Air,True,"80 Head St, Alice Springs, 0870, NT","PO Box 1220, Alice Springs, 0871, NT",assoa@assoa.nt.edu.au,(08) 8951 6800,http://www.assoa.nt.edu.au/,Kerrie Russell,Principal,kerrie.russell@education.nt.gov.au,(08) 8951 6800
Bees Creek Primary School,True,"20 Sattler Cres, Freds Pass, NT","PO Box 1500, Coolalinga, 0839, NT",bees.creek@education.nt.gov.au,(08) 8983 3222,http://beescreekschool.com/,Wendy Jordan,Principal,wendy.jordan@education.nt.gov.au,(08) 8983 3222
Alawa Primary School,True,"27 Pett Street, Alawa, 0810, NT","PO Box 40446, Casuarina, 0811, NT",alawa.school@education.nt.gov.au,(08) 899 77666,http://www.alawaprimary.nt.edu.au,Sandy Cartwright,Principal,sandy.cartwright@education.nt.gov.au,(08) 899 77666
Alyangula Area School,True,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT","PMB 3, Alyangula, Groote Eylandt, 0885, NT",alyangula.admin@education.nt.gov.au,(08) 8987 6366,http://www.alyangula.nt.edu.au,Mel Dougherty,Principal,mel.dougherty@education.nt.gov.au,(08) 8987 6366
Alawa Pre School,False,"27 Pett St, Alawa, NT",", , , ",,(08) 899 77666,,Mel Dougherty,Principal,mel.dougherty@education.nt.gov.au,(08) 8987 6366
Acacia Hill School,True,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 435, ALICE SPRINGS, 0871, NT",acaciahill.school@education.nt.gov.au,(08) 895 52222,not available,Catherine Ashton,Principal,catherine.ashton@education.nt.gov.au,(08) 895 52222
Adelaide River School,True,"31 Memorial Tce, Adelaide River, 0846, NT","C/- Post Office, Adelaide River, 0846, NT",adelaideriver.ps@education.nt.gov.au,(08) 8976 7034,,Tony Clegg,Principal,tony.clegg@education.nt.gov.au,(08) 8976 7034
